Grid	Lat/Lon hddd.ddddd°
Datum	WGS 84

Header	Name	Description	Type	Position	Altitude	Depth	Proximity	Temperature	Display Mode	Color	Symbol	Facility	City	State	Country	Date Modified	Link	Categories

Waypoint	1KM	25-JUN-05 12:31:32PM	User Waypoint	N44.97836 W93.13802	922 ft				Symbol & Name	Unknown	Flag, Blue							
Waypoint	1MILE	25-JUN-05 12:43:56PM	User Waypoint	N44.97580 W93.13936	910 ft				Symbol & Name	Unknown	Flag, Blue							
Waypoint	2KM	25-JUN-05 12:48:53PM	User Waypoint	N44.97807 W93.14290	915 ft				Symbol & Name	Unknown	Flag, Blue							
Waypoint	2MILE	25-JUN-05 12:26:20PM	User Waypoint	N44.98167 W93.13930	923 ft				Symbol & Name	Unknown	Flag, Blue							
Waypoint	3KM	25-JUN-05 12:22:55PM	User Waypoint	N44.98343 W93.14021	928 ft				Symbol & Name	Unknown	Flag, Blue							
Waypoint	3MILE	25-JUN-05 12:51:50PM	User Waypoint	N44.97991 W93.14370	916 ft				Symbol & Name	Unknown	Flag, Blue							
Waypoint	4KM	25-JUN-05 12:39:44PM	User Waypoint	N44.97619 W93.13671	915 ft				Symbol & Name	Unknown	Flag, Blue							
Waypoint	FINISH	25-JUN-05 12:54:23PM	User Waypoint	N44.98129 W93.14360	932 ft				Symbol & Name	Unknown	Flag, Blue							
Waypoint	START	25-JUN-05 12:15:49PM	User Waypoint	N44.98308 W93.14320	941 ft				Symbol & Name	Unknown	Flag, Blue							


Header	Name	Start Time	Elapsed Time	Length	Average Speed	Link

Track	COMO LAKE 5km		0:00:00	1.9 mi	0 mph	

Header	Position	Time	Altitude	Depth	Leg Length	Leg Time	Leg Speed	Leg Course
Trackpoint	N44.98129 W93.14361		914 ft		119 ft			37° true
Trackpoint	N44.98129 W93.14360		934 ft		2 ft			22° true
Trackpoint	N44.98129 W93.14360		932 ft		0 ft			0° true
Trackpoint	N44.98129 W93.14360		923 ft		0 ft			132° true
Trackpoint	N44.98129 W93.14360		906 ft		1 ft			153° true
Trackpoint	N44.98128 W93.14360		925 ft		1 ft			153° true
Trackpoint	N44.98128 W93.14360		915 ft		1 ft			149° true
Trackpoint	N44.98128 W93.14359		902 ft		1 ft			149° true
Trackpoint	N44.98128 W93.14359		915 ft		1 ft			149° true
Trackpoint	N44.98127 W93.14359		904 ft		1 ft			147° true
Trackpoint	N44.98127 W93.14359		915 ft		1 ft			147° true
Trackpoint	N44.98127 W93.14358		902 ft		1 ft			140° true
Trackpoint	N44.98127 W93.14358		904 ft		0 ft			13° true
Trackpoint	N44.98127 W93.14358		915 ft		0 ft			351° true
Trackpoint	N44.98127 W93.14358		907 ft		0 ft			348° true
Trackpoint	N44.98127 W93.14359		918 ft		1 ft			345° true
Trackpoint	N44.98128 W93.14359		895 ft		1 ft			348° true
Trackpoint	N44.98128 W93.14359		920 ft		0 ft			348° true
Trackpoint	N44.98147 W93.14350		915 ft		73 ft			18° true
Trackpoint	N44.98173 W93.14342		920 ft		96 ft			12° true
Trackpoint	N44.98200 W93.14353		917 ft		105 ft			344° true
Trackpoint	N44.98202 W93.14354		918 ft		6 ft			334° true
Trackpoint	N44.98239 W93.14346		923 ft		138 ft			9° true
Trackpoint	N44.98270 W93.14336		925 ft		116 ft			13° true
Trackpoint	N44.98301 W93.14324		918 ft		119 ft			14° true
Trackpoint	N44.98308 W93.14322		920 ft		25 ft			13° true
Trackpoint	N44.98309 W93.14323		931 ft		2 ft			329° true
Trackpoint	N44.98309 W93.14323		917 ft		1 ft			30° true
Trackpoint	N44.98309 W93.14323		921 ft		0 ft			19° true
Trackpoint	N44.98309 W93.14322		925 ft		0 ft			22° true
Trackpoint	N44.98309 W93.14323		920 ft		1 ft			355° true
Trackpoint	N44.98309 W93.14323		932 ft		0 ft			352° true
Trackpoint	N44.98309 W93.14323		921 ft		0 ft			341° true
Trackpoint	N44.98309 W93.14322		934 ft		1 ft			121° true
Trackpoint	N44.98309 W93.14322		932 ft		0 ft			318° true
Trackpoint	N44.98309 W93.14322		914 ft		0 ft			279° true
Trackpoint	N44.98309 W93.14323		926 ft		0 ft			245° true
Trackpoint	N44.98309 W93.14323		939 ft		1 ft			223° true
Trackpoint	N44.98309 W93.14323		926 ft		0 ft			221° true
Trackpoint	N44.98309 W93.14323		925 ft		0 ft			212° true
Trackpoint	N44.98309 W93.14323		925 ft		1 ft			227° true
Trackpoint	N44.98309 W93.14323		932 ft		1 ft			343° true
Trackpoint	N44.98309 W93.14323		921 ft		0 ft			0° true
Trackpoint	N44.98309 W93.14323		926 ft		0 ft			347° true
Trackpoint	N44.98309 W93.14323		923 ft		1 ft			345° true
Trackpoint	N44.98309 W93.14323		921 ft		1 ft			133° true
Trackpoint	N44.98309 W93.14323		904 ft		0 ft			41° true
Trackpoint	N44.98309 W93.14323		925 ft		0 ft			0° true
Trackpoint	N44.98309 W93.14323		926 ft		0 ft			10° true
Trackpoint	N44.98313 W93.14322		921 ft		12 ft			9° true
Trackpoint	N44.98311 W93.14321		920 ft		7 ft			153° true
Trackpoint	N44.98309 W93.14320		932 ft		6 ft			162° true
Trackpoint	N44.98309 W93.14320		920 ft		0 ft			119° true
